	Tissue
GTEX-1I19N-0011-R9a-SM-CMKHN	Brain - Spinal cord (cervical c-1)
GTEX-13X6J-0011-R4b-SM-5P9K4	Brain - Amygdala
GTEX-1IOXB-0011-R7b-SM-CE6SM	Brain - Putamen (basal ganglia)
GTEX-139TT-0011-R11b-SM-5LZV1	Brain - Cerebellar Hemisphere
GTEX-T2IS-3026-SM-32QPM	Brain - Cortex
GTEX-17F97-2926-SM-7DUEQ	Brain - Cerebellum
GTEX-1B933-0011-R1b-SM-9QEGW	Brain - Hippocampus
GTEX-13FHO-0011-R5b-SM-5LZZ3	Brain - Caudate (basal ganglia)
GTEX-T5JC-0011-R7A-SM-32PME	Brain - Putamen (basal ganglia)
GTEX-13SLX-0011-R2b-SM-5S2VP	Brain - Substantia nigra
GTEX-13N2G-0011-R1b-SM-5MR3G	Brain - Hippocampus
GTEX-14BIM-0011-R1a-SM-69LQI	Brain - Hippocampus
GTEX-1GN2E-0011-R2a-SM-9WG7D	Brain - Substantia nigra
GTEX-1E1VI-0011-R6a-SM-9OSVJ	Brain - Nucleus accumbens (basal ganglia)
GTEX-1F52S-3026-SM-7P8PV	Brain - Cerebellum
GTEX-1EX96-0011-R3b-SM-ARZMH	Brain - Anterior cingulate cortex (BA24)
GTEX-1EKGG-0011-R5a-SM-9OSVQ	Brain - Caudate (basal ganglia)
GTEX-1H1CY-0011-R8b-SM-CJI31	Brain - Hypothalamus
GTEX-13NZA-0011-R11b-SM-5KM4W	Brain - Cerebellar Hemisphere
GTEX-1F75A-2926-SM-7MXVN	Brain - Cerebellum
GTEX-NPJ8-2626-SM-2D7W2	Brain - Cerebellum
GTEX-1A8G7-3126-SM-7IGP7	Brain - Cortex
GTEX-NL3H-0011-R4a-SM-2I3GK	Brain - Amygdala
GTEX-1F75W-0011-R10b-SM-ARU7Z	Brain - Frontal Cortex (BA9)
GTEX-17F97-0011-R11b-SM-7KFRQ	Brain - Cerebellar Hemisphere
GTEX-1477Z-0011-R10b-SM-5S2RF	Brain - Frontal Cortex (BA9)
GTEX-1I1GS-0011-R8b-SM-CKZPE	Brain - Hypothalamus
GTEX-13NYS-0011-R3b-SM-5MR41	Brain - Anterior cingulate cortex (BA24)
GTEX-1GN2E-0011-R9b-SM-9WG7F	Brain - Spinal cord (cervical c-1)
GTEX-XLM4-0011-R3B-SM-4AT6E	Brain - Anterior cingulate cortex (BA24)
GTEX-17F97-0011-R6a-SM-7EPGS	Brain - Nucleus accumbens (basal ganglia)
GTEX-XMD1-0011-R1A-SM-4AT4C	Brain - Hippocampus
GTEX-145MI-0011-R8b-SM-5PNZ9	Brain - Hypothalamus
GTEX-14ABY-0011-R6a-SM-5PNWR	Brain - Nucleus accumbens (basal ganglia)
GTEX-1GN1U-0011-R10b-SM-CKZNH	Brain - Frontal Cortex (BA9)
GTEX-13N2G-0011-R9b-SM-5MR4E	Brain - Spinal cord (cervical c-1)
GTEX-1I19N-0011-R6b-SM-CY8GC	Brain - Nucleus accumbens (basal ganglia)
GTEX-13O3O-0011-R1b-SM-5KM2K	Brain - Hippocampus
GTEX-139T8-0011-R3b-SM-5HL4R	Brain - Anterior cingulate cortex (BA24)
GTEX-1HBPM-0011-R10a-SM-CJI3Q	Brain - Frontal Cortex (BA9)
GTEX-12ZZX-0011-R5a-SM-5HL89	Brain - Caudate (basal ganglia)
GTEX-11GSP-0011-R7b-SM-57WC3	Brain - Putamen (basal ganglia)
GTEX-15RJE-0011-R7a-SM-7DHL9	Brain - Putamen (basal ganglia)
GTEX-16Z82-0011-R10a-SM-79OJX	Brain - Frontal Cortex (BA9)
GTEX-11ZVC-3026-SM-59HJM	Brain - Cerebellum
GTEX-1IDJH-0011-R10a-SM-ARZLK	Brain - Frontal Cortex (BA9)
GTEX-1CB4G-0011-R3a-SM-CE6QQ	Brain - Anterior cingulate cortex (BA24)
GTEX-15EO6-0011-R3b-SM-7KUDY	Brain - Anterior cingulate cortex (BA24)
GTEX-PVOW-2526-SM-2XCF7	Brain - Cortex
GTEX-1GMRU-0011-R5a-SM-CKZNS	Brain - Caudate (basal ganglia)
GTEX-1H1ZS-0011-R2b-SM-CL54Q	Brain - Substantia nigra
GTEX-145MI-0011-R4b-SM-5PNZH	Brain - Amygdala
GTEX-11O72-0011-R5a-SM-DO922	Brain - Caudate (basal ganglia)
GTEX-UTHO-0011-R4A-SM-3GIJP	Brain - Amygdala
GTEX-13N1W-0011-R1b-SM-5MR4T	Brain - Hippocampus
GTEX-Y8DK-0011-R10A-SM-4SOK1	Brain - Frontal Cortex (BA9)
GTEX-13QIC-0011-R10a-SM-5O9C7	Brain - Frontal Cortex (BA9)
GTEX-YJ89-3026-SM-5IFJI	Brain - Cortex
GTEX-13X6I-0011-R7b-SM-5PNWP	Brain - Putamen (basal ganglia)
GTEX-12WSC-2926-SM-5BC5Z	Brain - Cerebellum
GTEX-Z93S-0011-R10a-SM-4RGNM	Brain - Frontal Cortex (BA9)
GTEX-XLM4-0011-R9A-SM-4AT45	Brain - Spinal cord (cervical c-1)
GTEX-14BMV-0011-R9b-SM-5ZZUA	Brain - Spinal cord (cervical c-1)
GTEX-11GSP-0011-R11b-SM-5NQ7V	Brain - Cerebellar Hemisphere
GTEX-1E2YA-3026-SM-7IGO7	Brain - Cortex
GTEX-1A3MX-0011-R4b-SM-7EWFK	Brain - Amygdala
GTEX-1B933-0011-R8a-SM-9QEGX	Brain - Hypothalamus
GTEX-1C64N-3126-SM-79OO3	Brain - Cerebellum
GTEX-1HGF4-0011-R9a-SM-ADEH9	Brain - Spinal cord (cervical c-1)
GTEX-14E6D-0011-R1b-SM-5YYAW	Brain - Hippocampus
GTEX-12ZZY-2926-SM-5DUXO	Brain - Cerebellum
GTEX-1HSKV-0011-R8a-SM-CL54X	Brain - Hypothalamus
GTEX-17EVQ-0011-R7a-SM-7EWDA	Brain - Putamen (basal ganglia)
GTEX-11GS4-0011-R1a-SM-DO129	Brain - Hippocampus
GTEX-13OVJ-0011-R5a-SM-5P9H7	Brain - Caudate (basal ganglia)
GTEX-1HFI6-0011-R4b-SM-A96RT	Brain - Amygdala
GTEX-1B996-0011-R2a-SM-7IGON	Brain - Substantia nigra
GTEX-132Q8-0011-R1a-SM-5EGLK	Brain - Hippocampus
GTEX-WVLH-3026-SM-3MJG9	Brain - Cortex
GTEX-1N2EE-0011-R4a-SM-EXOII	Brain - Amygdala
GTEX-14BIN-0011-R6a-SM-5S2RH	Brain - Nucleus accumbens (basal ganglia)
GTEX-17JCI-3026-SM-7EWDR	Brain - Cerebellum
GTEX-1JJE9-3026-SM-CNNPA	Brain - Cerebellum
GTEX-Q2AG-2926-SM-2HMJ3	Brain - Cortex
GTEX-13NYS-0011-R2b-SM-5MR4G	Brain - Substantia nigra
GTEX-12WSM-0011-R10a-SM-5DUWV	Brain - Frontal Cortex (BA9)
GTEX-1GTWX-0011-R6a-SM-A96RN	Brain - Nucleus accumbens (basal ganglia)
GTEX-1HCU6-0011-R10a-SM-CKZP8	Brain - Frontal Cortex (BA9)
GTEX-13N1W-0011-R6a-SM-5MR43	Brain - Nucleus accumbens (basal ganglia)
GTEX-12WSH-0011-R4a-SM-5GU6K	Brain - Amygdala
GTEX-14E6D-0011-R10a-SM-5YY9C	Brain - Frontal Cortex (BA9)
GTEX-1IOXB-0011-R11a-SM-A9G1X	Brain - Cerebellar Hemisphere
GTEX-12ZZW-0011-R6a-SM-5DUVZ	Brain - Nucleus accumbens (basal ganglia)
GTEX-12WSF-0011-R2a-SM-5DUVU	Brain - Substantia nigra
GTEX-1GZHY-0011-R8b-SM-9OSWK	Brain - Hypothalamus
GTEX-OXRO-0011-R10A-SM-2I5EH	Brain - Frontal Cortex (BA9)
GTEX-12WSF-0011-R6b-SM-5HL8W	Brain - Nucleus accumbens (basal ganglia)
GTEX-13OW5-0011-R9b-SM-5O9CL	Brain - Spinal cord (cervical c-1)
GTEX-1H3O1-0011-R9b-SM-CM2SQ	Brain - Spinal cord (cervical c-1)
GTEX-1EH9U-0011-R7a-SM-9QEGU	Brain - Putamen (basal ganglia)
GTEX-1JMPZ-0011-R5b-SM-EYYWY	Brain - Caudate (basal ganglia)
GTEX-1HT8W-0011-R8b-SM-CM2SX	Brain - Hypothalamus
GTEX-XLM4-2926-SM-4AT59	Brain - Cerebellum
GTEX-14DAQ-0011-R4a-SM-5YYAI	Brain - Amygdala
GTEX-11DXY-0011-R7a-SM-DO11L	Brain - Putamen (basal ganglia)
GTEX-X585-3026-SM-46MWF	Brain - Cortex
GTEX-QVJO-1426-SM-2S1QY	Brain - Cortex
GTEX-1I1GS-0011-R5a-SM-CKZPC	Brain - Caudate (basal ganglia)
GTEX-13OW8-2826-SM-5L3GC	Brain - Cortex
GTEX-14DAQ-0011-R11a-SM-664NO	Brain - Cerebellar Hemisphere
GTEX-1313W-0011-R7b-SM-5DUWL	Brain - Putamen (basal ganglia)
GTEX-ZDXO-0011-R5a-SM-4WKG5	Brain - Caudate (basal ganglia)
GTEX-T5JC-0011-R1A-SM-32PM6	Brain - Hippocampus
GTEX-1F6I4-0011-R11b-SM-9OSWS	Brain - Cerebellar Hemisphere
GTEX-1313W-0011-R11a-SM-5DUXN	Brain - Cerebellar Hemisphere
GTEX-1GZ2Q-0011-R6a-SM-9OSWM	Brain - Nucleus accumbens (basal ganglia)
GTEX-13QIC-0011-R8b-SM-5O9CV	Brain - Hypothalamus
GTEX-14E6D-0011-R11b-SM-664NP	Brain - Cerebellar Hemisphere
GTEX-131YS-0011-R11b-SM-5EGLM	Brain - Cerebellar Hemisphere
GTEX-13QJC-0011-R1b-SM-5S2UU	Brain - Hippocampus
GTEX-N7MS-0011-R3a-SM-33HC6	Brain - Anterior cingulate cortex (BA24)
GTEX-1EX96-3126-SM-9JGGC	Brain - Cerebellum
GTEX-OXRN-0011-R5A-SM-2I5EF	Brain - Caudate (basal ganglia)
GTEX-1GN73-0011-R6b-SM-CJI2T	Brain - Nucleus accumbens (basal ganglia)
GTEX-17EVQ-0011-R8a-SM-7189T	Brain - Hypothalamus
GTEX-1J1OQ-0011-R7b-SM-ARU87	Brain - Putamen (basal ganglia)
GTEX-13PDP-0011-R2b-SM-5O9DH	Brain - Substantia nigra
GTEX-1EN7A-0011-R7b-SM-9QEHX	Brain - Putamen (basal ganglia)
GTEX-11ZU8-0011-R4a-SM-5BC6Y	Brain - Amygdala
GTEX-1HBPH-0011-R9a-SM-CMKH3	Brain - Spinal cord (cervical c-1)
GTEX-ZF28-0011-R1a-SM-4WWD1	Brain - Hippocampus
GTEX-13FLW-0011-R6b-SM-5L3EN	Brain - Nucleus accumbens (basal ganglia)
GTEX-14E7W-0011-R6b-SM-5ZZV3	Brain - Nucleus accumbens (basal ganglia)
GTEX-17HII-0011-R10a-SM-79OMY	Brain - Frontal Cortex (BA9)
GTEX-13N1W-0011-R9b-SM-5MR4R	Brain - Spinal cord (cervical c-1)
GTEX-Q2AG-0011-R9A-SM-2HMJ6	Brain - Spinal cord (cervical c-1)
GTEX-1EMGI-0011-R7b-SM-9QEH5	Brain - Putamen (basal ganglia)
GTEX-12ZZW-0011-R3a-SM-5DUWW	Brain - Anterior cingulate cortex (BA24)
GTEX-T6MN-0011-R2A-SM-32QOW	Brain - Substantia nigra
GTEX-131YS-3026-SM-5EGHY	Brain - Cerebellum
GTEX-11DYG-0011-R10b-SM-DNZZO	Brain - Frontal Cortex (BA9)
GTEX-X261-0011-R6B-SM-4E3J8	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B933-0011-R7a-SM-7DUGX	Brain - Putamen (basal ganglia)
GTEX-RNOR-0011-R1A-SM-CNNP5	Brain - Hippocampus
GTEX-N7MT-0011-R5a-SM-2I3G6	Brain - Caudate (basal ganglia)
GTEX-12WSE-2926-SM-5RQJ9	Brain - Cerebellum
GTEX-ZDXO-0011-R8a-SM-4WWD7	Brain - Hypothalamus
GTEX-13NYS-3126-SM-5KLYV	Brain - Cortex
GTEX-1J8Q2-0011-R3b-SM-ACKVG	Brain - Anterior cingulate cortex (BA24)
GTEX-13S7M-3026-SM-5S2QQ	Brain - Cerebellum
GTEX-1A8G6-0011-R10b-SM-7P8PB	Brain - Frontal Cortex (BA9)
GTEX-WZTO-2926-SM-3NM9I	Brain - Cortex
GTEX-13OW8-0011-R3a-SM-5L3I4	Brain - Anterior cingulate cortex (BA24)
GTEX-1HBPI-0011-R5a-SM-CKZOW	Brain - Caudate (basal ganglia)
GTEX-13RTJ-0011-R4b-SM-5PNX1	Brain - Amygdala
GTEX-1LVAO-0011-R9a-SM-EZ6MY	Brain - Spinal cord (cervical c-1)
GTEX-13NZA-0011-R10b-SM-5KM54	Brain - Frontal Cortex (BA9)
GTEX-1I1GV-0011-R3a-SM-CL557	Brain - Anterior cingulate cortex (BA24)
GTEX-14753-0011-R6b-SM-5S2UD	Brain - Nucleus accumbens (basal ganglia)
GTEX-T6MN-0011-R8A-SM-32QP3	Brain - Hypothalamus
GTEX-1ICLZ-0011-R10a-SM-A9SM2	Brain - Frontal Cortex (BA9)
GTEX-1F6I4-0011-R7a-SM-CJI24	Brain - Putamen (basal ganglia)
GTEX-13OW5-0011-R7a-SM-5O9C9	Brain - Putamen (basal ganglia)
GTEX-1I1HK-0011-R9a-SM-CMKHK	Brain - Spinal cord (cervical c-1)
GTEX-1B8SF-0011-R8b-SM-7P8SX	Brain - Hypothalamus
GTEX-13PLJ-0011-R9b-SM-5O9DV	Brain - Spinal cord (cervical c-1)
GTEX-1H23P-0011-R6b-SM-A9G1H	Brain - Nucleus accumbens (basal ganglia)
GTEX-15SHU-0011-R4b-SM-7IGLC	Brain - Amygdala
GTEX-11ONC-2926-SM-5P9JM	Brain - Cortex
GTEX-XMD1-0011-R5A-SM-4AT47	Brain - Caudate (basal ganglia)
GTEX-1I1HK-2826-SM-CKZPL	Brain - Cortex
GTEX-1H1DG-0011-R9b-SM-ACKVB	Brain - Spinal cord (cervical c-1)
GTEX-1HR9M-0011-R5a-SM-ARU72	Brain - Caudate (basal ganglia)
GTEX-15RJE-3026-SM-7KUM1	Brain - Cortex
GTEX-1EMGI-0011-R5a-SM-CJI2E	Brain - Caudate (basal ganglia)
GTEX-1GF9W-0011-R9b-SM-9WG7J	Brain - Spinal cord (cervical c-1)
GTEX-QMR6-0011-R5A-SM-32PKT	Brain - Caudate (basal ganglia)
GTEX-1GN1V-0011-R10a-SM-CKZNU	Brain - Frontal Cortex (BA9)
GTEX-T2IS-2926-SM-32QPO	Brain - Cerebellum
GTEX-Q2AG-0011-R4A-SM-2HMKA	Brain - Amygdala
GTEX-11ONC-3026-SM-5985W	Brain - Cerebellum
GTEX-18464-0011-R9a-SM-731BK	Brain - Spinal cord (cervical c-1)
GTEX-13X6I-0011-R9b-SM-5PNZJ	Brain - Spinal cord (cervical c-1)
GTEX-11WQC-0011-R7b-SM-5BC7A	Brain - Putamen (basal ganglia)
GTEX-ZV68-0011-R5a-SM-4YCDW	Brain - Caudate (basal ganglia)
GTEX-ZAK1-2926-SM-5HL9S	Brain - Cerebellum
GTEX-WHSE-0011-R3A-SM-3P5ZM	Brain - Anterior cingulate cortex (BA24)
GTEX-13CF2-0011-R7b-SM-5K7UV	Brain - Putamen (basal ganglia)
GTEX-RNOR-0011-R3A-SM-5SI8E	Brain - Anterior cingulate cortex (BA24)
GTEX-ZE9C-0011-R6a-SM-4WWCW	Brain - Nucleus accumbens (basal ganglia)
GTEX-1HUB1-2926-SM-ACKXA	Brain - Cortex
GTEX-13SLW-0011-R9a-SM-5O9BT	Brain - Spinal cord (cervical c-1)
GTEX-1GN2E-0011-R10a-SM-CE6RI	Brain - Frontal Cortex (BA9)
GTEX-YFC4-0011-R8a-SM-4SOK3	Brain - Hypothalamus
GTEX-P44H-0011-R11A-SM-2XCER	Brain - Cerebellar Hemisphere
GTEX-13112-0011-R6b-SM-5DUVK	Brain - Nucleus accumbens (basal ganglia)
GTEX-XMD1-0011-R11A-SM-4AT5J	Brain - Cerebellar Hemisphere
GTEX-13NYB-0011-R7a-SM-5MR5D	Brain - Putamen (basal ganglia)
GTEX-1A3MX-0011-R11b-SM-7DUGP	Brain - Cerebellar Hemisphere
GTEX-ZVZQ-0011-R7b-SM-57WBB	Brain - Putamen (basal ganglia)
GTEX-R55E-2526-SM-2TC6H	Brain - Cerebellum
GTEX-13X6I-0011-R2b-SM-5PNWQ	Brain - Substantia nigra
GTEX-WHSE-0011-R4A-SM-3P5ZN	Brain - Amygdala
GTEX-14BIN-0011-R10a-SM-5S2UA	Brain - Frontal Cortex (BA9)
GTEX-147GR-3126-SM-5S2PM	Brain - Cerebellum
GTEX-1HBPI-0011-R11b-SM-CE6SH	Brain - Cerebellar Hemisphere
GTEX-TSE9-0011-R8A-SM-3DB7R	Brain - Hypothalamus
GTEX-1GF9W-0011-R4a-SM-CE6RH	Brain - Amygdala
GTEX-139TS-0011-R2b-SM-5J1MX	Brain - Substantia nigra
GTEX-1LB8K-0011-R1b-SM-EZ6MV	Brain - Hippocampus
GTEX-14PN4-0011-R3b-SM-686ZU	Brain - Anterior cingulate cortex (BA24)
GTEX-14C5O-3026-SM-5YYB2	Brain - Cortex
GTEX-15CHQ-0011-R8b-SM-CNPO4	Brain - Hypothalamus
GTEX-13OVH-0011-R8b-SM-5MR35	Brain - Hypothalamus
GTEX-1LVAO-0011-R6b-SM-EZ6MX	Brain - Nucleus accumbens (basal ganglia)
GTEX-15ER7-0011-R7a-SM-6M46N	Brain - Putamen (basal ganglia)
GTEX-QMR6-0011-R6A-SM-32PKP	Brain - Nucleus accumbens (basal ganglia)
GTEX-RVPV-0011-R5A-SM-2TF69	Brain - Caudate (basal ganglia)
GTEX-13OVJ-2726-SM-5IJG6	Brain - Cerebellum
GTEX-1I1HK-0011-R6b-SM-CM2T9	Brain - Nucleus accumbens (basal ganglia)
GTEX-1A3MX-0011-R2b-SM-7EWFL	Brain - Substantia nigra
GTEX-14PJO-0011-R5a-SM-6AJBZ	Brain - Caudate (basal ganglia)
GTEX-1H1CY-0011-R7a-SM-CJI32	Brain - Putamen (basal ganglia)
GTEX-13OW5-0011-R1b-SM-5L3GE	Brain - Hippocampus
GTEX-18A6Q-2926-SM-718AR	Brain - Cortex
GTEX-1B996-0011-R3b-SM-9QEGY	Brain - Anterior cingulate cortex (BA24)
GTEX-X4XY-0011-R10B-SM-46MWS	Brain - Frontal Cortex (BA9)
GTEX-13OVJ-2826-SM-5L3GW	Brain - Cortex
GTEX-NPJ8-1526-SM-2D7VU	Brain - Cortex
GTEX-1EH9U-3126-SM-7MXU5	Brain - Cerebellum
GTEX-11WQK-0011-R3b-SM-DO93K	Brain - Anterior cingulate cortex (BA24)
GTEX-1EX96-3026-SM-7RHH5	Brain - Cortex
GTEX-ZDXO-0011-R10a-SM-4WWD8	Brain - Frontal Cortex (BA9)
GTEX-1KD4Q-3026-SM-EV7A7	Brain - Cerebellum
GTEX-16Z82-0011-R9a-SM-7DUFA	Brain - Spinal cord (cervical c-1)
GTEX-1JMLX-2926-SM-CL54C	Brain - Cortex
GTEX-P44G-0011-R4A-SM-2I3FB	Brain - Amygdala
GTEX-13N1W-0011-R7b-SM-5MR4F	Brain - Putamen (basal ganglia)
GTEX-1H1ZS-0011-R3b-SM-CE6RS	Brain - Anterior cingulate cortex (BA24)
GTEX-1LSVX-2826-SM-EVR58	Brain - Cerebellum
GTEX-12WSC-0011-R7b-SM-5LU9L	Brain - Putamen (basal ganglia)
GTEX-1IL2V-3026-SM-CYPSA	Brain - Cerebellum
GTEX-14PJO-0011-R10a-SM-686ZS	Brain - Frontal Cortex (BA9)
GTEX-13N1W-0011-R10b-SM-5MR4H	Brain - Frontal Cortex (BA9)
GTEX-1H23P-0011-R10a-SM-A96RS	Brain - Frontal Cortex (BA9)
GTEX-N7MS-0011-R2a-SM-2HML6	Brain - Substantia nigra
GTEX-11DXW-1126-SM-5H12Q	Brain - Cortex
GTEX-Q2AG-0011-R1A-SM-2HMJI	Brain - Hippocampus
GTEX-13X6K-0011-R3b-SM-5PNUD	Brain - Anterior cingulate cortex (BA24)
GTEX-1C6WA-0011-R7b-SM-7P8S8	Brain - Putamen (basal ganglia)
GTEX-1HB9E-0011-R10a-SM-CJI3H	Brain - Frontal Cortex (BA9)
GTEX-17EVQ-2826-SM-7IGQK	Brain - Cortex
GTEX-17EVQ-0011-R5a-SM-7LT92	Brain - Caudate (basal ganglia)
GTEX-1CB4G-0011-R10a-SM-9QEHS	Brain - Frontal Cortex (BA9)
GTEX-17HG3-0011-R11b-SM-7KFT4	Brain - Cerebellar Hemisphere
GTEX-11NUK-3026-SM-5986K	Brain - Cerebellum
GTEX-16YQH-0011-R10b-SM-7LT8U	Brain - Frontal Cortex (BA9)
